time, Rain
01-01-2003,1
01-02-2003,0
01-03-2003,13
01-04-2003,20
01-05-2003,64
01-06-2003,288
01-07-2003,351
01-08-2003,145
01-09-2003,201
01-10-2003,440
01-11-2003,7
01-12-2003,104
01-01-2004,0
01-02-2004,0
01-03-2004,20
01-04-2004,32
01-05-2004,146
01-06-2004,287
01-07-2004,327
01-08-2004,108
01-09-2004,277
01-10-2004,193
01-11-2004,61
01-12-2004,3
01-01-2005,0
01-02-2005,0
01-03-2005,1
01-04-2005,25
01-05-2005,38
01-06-2005,190
01-07-2005,165
01-08-2005,122
01-09-2005,476
01-10-2005,465
01-11-2005,65
01-12-2005,8
01-01-2006,0
01-02-2006,0
01-03-2006,2
01-04-2006,110
01-05-2006,133
01-06-2006,267
01-07-2006,133
01-08-2006,349
01-09-2006,209
01-10-2006,170
01-11-2006,68
01-12-2006,1
01-01-2007,3
01-02-2007,0
01-03-2007,0
01-04-2007,2
01-05-2007,113
01-06-2007,748
01-07-2007,144
01-08-2007,199
01-09-2007,397
01-10-2007,271
01-11-2007,1
01-12-2007,2
01-01-2008,0
01-02-2008,61
01-03-2008,132
01-04-2008,12
01-05-2008,48
01-06-2008,228
01-07-2008,250
01-08-2008,169
01-09-2008,154
01-10-2008,166
01-11-2008,363
01-12-2008,1
01-01-2009,0
01-02-2009,0
01-03-2009,15
01-04-2009,0
01-05-2009,151
01-06-2009,107
01-07-2009,153
01-08-2009,267
01-09-2009,101
01-10-2009,16
01-11-2009,77
01-12-2009,0
01-01-2010,0
01-02-2010,0
01-03-2010,10
01-04-2010,41
01-05-2010,647
01-06-2010,309
01-07-2010,425
01-08-2010,478
01-09-2010,474
01-10-2010,690
01-11-2010,148
01-12-2010,211
01-01-2011,0
01-02-2011,7
01-03-2011,1
01-04-2011,30
01-05-2011,150
01-06-2011,188
01-07-2011,363
01-08-2011,248
01-09-2011,193
01-10-2011,101
01-11-2011,2
01-12-2011,7
01-01-2012,0
01-02-2012,0
01-03-2012,0
01-04-2012,23
01-05-2012,48
01-06-2012,101
01-07-2012,238
01-08-2012,159
01-09-2012,411
01-10-2012,458
01-11-2012,342
01-12-2012,5
01-01-2013,0
01-02-2013,9
01-03-2013,0
01-04-2013,24
01-05-2013,114
01-06-2013,390
01-07-2013,166
01-08-2013,133
01-09-2013,305
01-10-2013,939
01-11-2013,37
01-12-2013,18
01-01-2014,0
01-02-2014,0
01-03-2014,3
01-04-2014,9
01-05-2014,34
01-06-2014,175
01-07-2014,145
01-08-2014,174
01-09-2014,207
01-10-2014,80
01-11-2014,128
01-12-2014,12
01-01-2015,0
01-02-2015,0
01-03-2015,1
01-04-2015,21
01-05-2015,11
01-06-2015,416
01-07-2015,112
01-08-2015,219
01-09-2015,212
01-10-2015,84
01-11-2015,240
01-12-2015,20
01-01-2016,0
01-02-2016,1
01-03-2016,1
01-04-2016,0
01-05-2016,452
01-06-2016,511
01-07-2016,189
01-08-2016,218
01-09-2016,218
01-10-2016,100
01-11-2016,2
01-12-2016,8
01-01-2017,0
01-02-2017,0
01-03-2017,9
01-04-2017,1
01-05-2017,136
01-06-2017,287
01-07-2017,337
01-08-2017,315
01-09-2017,279
01-10-2017,179
01-11-2017,26
01-12-2017,0
01-01-2018,0
01-02-2018,5
01-03-2018,8
01-04-2018,30
01-05-2018,92
01-06-2018,404
01-07-2018,217
01-08-2018,263
01-09-2018,291
01-10-2018,71
01-11-2018,15
01-12-2018,33
01-01-2019,0
01-02-2019,0
01-03-2019,0
01-04-2019,39
01-05-2019,45
01-06-2019,181
01-07-2019,268
01-08-2019,130
01-09-2019,198
01-10-2019,421
01-11-2019,0
01-12-2019,1
01-01-2020,0
01-02-2020,0
01-03-2020,0
01-04-2020,55
01-05-2020,71
01-06-2020,235
01-07-2020,351
01-08-2020,209
01-09-2020,546
01-10-2020,402
01-11-2020,111
01-12-2020,4
01-01-2021,1
01-02-2021,0
01-03-2021,1
01-04-2021,17
01-05-2021,135
01-06-2021,101
01-07-2021,224
01-08-2021,183
01-09-2021,296
01-10-2021,133
01-11-2021,355
01-12-2021,0
01-01-2022,0
01-02-2022,0
01-03-2022,0
01-04-2022,1
