time, Rain
01-01-2003,2
01-02-2003,0
01-03-2003,17
01-04-2003,18
01-05-2003,67
01-06-2003,279
01-07-2003,357
01-08-2003,143
01-09-2003,209
01-10-2003,487
01-11-2003,10
01-12-2003,108
01-01-2004,1
01-02-2004,0
01-03-2004,20
01-04-2004,27
01-05-2004,164
01-06-2004,296
01-07-2004,322
01-08-2004,125
01-09-2004,290
01-10-2004,239
01-11-2004,64
01-12-2004,2
01-01-2005,0
01-02-2005,0
01-03-2005,2
01-04-2005,38
01-05-2005,37
01-06-2005,184
01-07-2005,187
01-08-2005,149
01-09-2005,511
01-10-2005,437
01-11-2005,82
01-12-2005,8
01-01-2006,0
01-02-2006,10
01-03-2006,2
01-04-2006,111
01-05-2006,125
01-06-2006,288
01-07-2006,157
01-08-2006,346
01-09-2006,203
01-10-2006,168
01-11-2006,68
01-12-2006,1
01-01-2007,0
01-02-2007,0
01-03-2007,0
01-04-2007,1
01-05-2007,124
01-06-2007,716
01-07-2007,165
01-08-2007,224
01-09-2007,401
01-10-2007,275
01-11-2007,1
01-12-2007,11
01-01-2008,0
01-02-2008,36
01-03-2008,134
01-04-2008,5
01-05-2008,50
01-06-2008,258
01-07-2008,252
01-08-2008,206
01-09-2008,169
01-10-2008,134
01-11-2008,302
01-12-2008,3
01-01-2009,0
01-02-2009,0
01-03-2009,7
01-04-2009,1
01-05-2009,165
01-06-2009,108
01-07-2009,146
01-08-2009,304
01-09-2009,114
01-10-2009,30
01-11-2009,57
01-12-2009,5
01-01-2010,0
01-02-2010,0
01-03-2010,8
01-04-2010,40
01-05-2010,605
01-06-2010,357
01-07-2010,461
01-08-2010,463
01-09-2010,536
01-10-2010,648
01-11-2010,138
01-12-2010,185
01-01-2011,0
01-02-2011,6
01-03-2011,0
01-04-2011,30
01-05-2011,133
01-06-2011,202
01-07-2011,389
01-08-2011,271
01-09-2011,130
01-10-2011,67
01-11-2011,4
01-12-2011,8
01-01-2012,1
01-02-2012,2
01-03-2012,0
01-04-2012,20
01-05-2012,54
01-06-2012,133
01-07-2012,285
01-08-2012,177
01-09-2012,343
01-10-2012,434
01-11-2012,354
01-12-2012,6
01-01-2013,0
01-02-2013,7
01-03-2013,1
01-04-2013,22
01-05-2013,98
01-06-2013,439
01-07-2013,158
01-08-2013,162
01-09-2013,279
01-10-2013,946
01-11-2013,44
01-12-2013,18
01-01-2014,1
01-02-2014,0
01-03-2014,7
01-04-2014,7
01-05-2014,64
01-06-2014,174
01-07-2014,144
01-08-2014,195
01-09-2014,214
01-10-2014,67
01-11-2014,148
01-12-2014,11
01-01-2015,0
01-02-2015,0
01-03-2015,1
01-04-2015,17
01-05-2015,1
01-06-2015,436
01-07-2015,121
01-08-2015,285
01-09-2015,235
01-10-2015,117
01-11-2015,249
01-12-2015,17
01-01-2016,0
01-02-2016,0
01-03-2016,9
01-04-2016,0
01-05-2016,459
01-06-2016,584
01-07-2016,213
01-08-2016,185
01-09-2016,243
01-10-2016,124
01-11-2016,1
01-12-2016,13
01-01-2017,0
01-02-2017,0
01-03-2017,8
01-04-2017,1
01-05-2017,84
01-06-2017,333
01-07-2017,320
01-08-2017,291
01-09-2017,280
01-10-2017,190
01-11-2017,49
01-12-2017,0
01-01-2018,0
01-02-2018,11
01-03-2018,9
01-04-2018,24
01-05-2018,90
01-06-2018,445
01-07-2018,234
01-08-2018,243
01-09-2018,304
01-10-2018,76
01-11-2018,32
01-12-2018,26
01-01-2019,9
01-02-2019,0
01-03-2019,0
01-04-2019,18
01-05-2019,44
01-06-2019,182
01-07-2019,285
01-08-2019,143
01-09-2019,209
01-10-2019,537
01-11-2019,1
01-12-2019,4
01-01-2020,0
01-02-2020,0
01-03-2020,0
01-04-2020,74
01-05-2020,87
01-06-2020,235
01-07-2020,339
01-08-2020,185
01-09-2020,566
01-10-2020,396
01-11-2020,76
01-12-2020,6
01-01-2021,1
01-02-2021,0
01-03-2021,0
01-04-2021,17
01-05-2021,129
01-06-2021,150
01-07-2021,214
01-08-2021,206
01-09-2021,263
01-10-2021,126
01-11-2021,308
01-12-2021,1
01-01-2022,0
01-02-2022,0
01-03-2022,0
01-04-2022,1
