time, Rain
01-01-2003,2
01-02-2003,0
01-03-2003,13
01-04-2003,21
01-05-2003,67
01-06-2003,298
01-07-2003,338
01-08-2003,152
01-09-2003,215
01-10-2003,409
01-11-2003,9
01-12-2003,111
01-01-2004,0
01-02-2004,0
01-03-2004,20
01-04-2004,34
01-05-2004,155
01-06-2004,287
01-07-2004,312
01-08-2004,103
01-09-2004,259
01-10-2004,230
01-11-2004,61
01-12-2004,1
01-01-2005,0
01-02-2005,0
01-03-2005,1
01-04-2005,39
01-05-2005,55
01-06-2005,197
01-07-2005,127
01-08-2005,107
01-09-2005,489
01-10-2005,430
01-11-2005,64
01-12-2005,9
01-01-2006,0
01-02-2006,0
01-03-2006,3
01-04-2006,110
01-05-2006,146
01-06-2006,247
01-07-2006,138
01-08-2006,332
01-09-2006,212
01-10-2006,161
01-11-2006,87
01-12-2006,0
01-01-2007,12
01-02-2007,0
01-03-2007,0
01-04-2007,2
01-05-2007,107
01-06-2007,785
01-07-2007,143
01-08-2007,243
01-09-2007,449
01-10-2007,328
01-11-2007,0
01-12-2007,2
01-01-2008,0
01-02-2008,57
01-03-2008,162
01-04-2008,23
01-05-2008,52
01-06-2008,282
01-07-2008,233
01-08-2008,171
01-09-2008,144
01-10-2008,153
01-11-2008,374
01-12-2008,1
01-01-2009,0
01-02-2009,0
01-03-2009,13
01-04-2009,0
01-05-2009,178
01-06-2009,113
01-07-2009,159
01-08-2009,235
01-09-2009,90
01-10-2009,15
01-11-2009,65
01-12-2009,1
01-01-2010,0
01-02-2010,1
01-03-2010,12
01-04-2010,27
01-05-2010,705
01-06-2010,310
01-07-2010,404
01-08-2010,456
01-09-2010,453
01-10-2010,719
01-11-2010,177
01-12-2010,231
01-01-2011,1
01-02-2011,6
01-03-2011,5
01-04-2011,21
01-05-2011,145
01-06-2011,177
01-07-2011,346
01-08-2011,236
01-09-2011,238
01-10-2011,122
01-11-2011,7
01-12-2011,4
01-01-2012,1
01-02-2012,0
01-03-2012,0
01-04-2012,21
01-05-2012,48
01-06-2012,113
01-07-2012,261
01-08-2012,191
01-09-2012,386
01-10-2012,450
01-11-2012,324
01-12-2012,7
01-01-2013,0
01-02-2013,12
01-03-2013,1
01-04-2013,28
01-05-2013,98
01-06-2013,399
01-07-2013,212
01-08-2013,147
01-09-2013,267
01-10-2013,953
01-11-2013,29
01-12-2013,21
01-01-2014,0
01-02-2014,0
01-03-2014,3
01-04-2014,13
01-05-2014,24
01-06-2014,175
01-07-2014,157
01-08-2014,199
01-09-2014,208
01-10-2014,77
01-11-2014,119
01-12-2014,7
01-01-2015,0
01-02-2015,0
01-03-2015,0
01-04-2015,28
01-05-2015,9
01-06-2015,380
01-07-2015,130
01-08-2015,200
01-09-2015,222
01-10-2015,97
01-11-2015,278
01-12-2015,19
01-01-2016,0
01-02-2016,2
01-03-2016,2
01-04-2016,0
01-05-2016,468
01-06-2016,467
01-07-2016,186
01-08-2016,228
01-09-2016,253
01-10-2016,89
01-11-2016,13
01-12-2016,8
01-01-2017,1
01-02-2017,0
01-03-2017,8
01-04-2017,3
01-05-2017,96
01-06-2017,279
01-07-2017,320
01-08-2017,252
01-09-2017,293
01-10-2017,170
01-11-2017,26
01-12-2017,0
01-01-2018,0
01-02-2018,9
01-03-2018,8
01-04-2018,18
01-05-2018,93
01-06-2018,400
01-07-2018,228
01-08-2018,265
01-09-2018,328
01-10-2018,82
01-11-2018,31
01-12-2018,35
01-01-2019,0
01-02-2019,0
01-03-2019,0
01-04-2019,13
01-05-2019,48
01-06-2019,197
01-07-2019,275
01-08-2019,113
01-09-2019,154
01-10-2019,381
01-11-2019,1
01-12-2019,4
01-01-2020,0
01-02-2020,0
01-03-2020,0
01-04-2020,36
01-05-2020,72
01-06-2020,241
01-07-2020,349
01-08-2020,206
01-09-2020,539
01-10-2020,427
01-11-2020,140
01-12-2020,6
01-01-2021,1
01-02-2021,0
01-03-2021,1
01-04-2021,27
01-05-2021,142
01-06-2021,105
01-07-2021,214
01-08-2021,182
01-09-2021,340
01-10-2021,150
01-11-2021,335
01-12-2021,0
01-01-2022,0
01-02-2022,0
01-03-2022,1
01-04-2022,2
