time, Rain
01-03-2000,5
01-04-2000,8
01-05-2000,38
01-06-2000,233
01-07-2000,406
01-08-2000,323
01-09-2000,110
01-10-2000,598
01-11-2000,8
01-12-2000,6
01-01-2001,90
01-02-2001,0
01-03-2001,12
01-04-2001,41
01-05-2001,13
01-06-2001,227
01-07-2001,266
01-08-2001,216
01-09-2001,421
01-10-2001,355
01-11-2001,135
01-12-2001,21
01-01-2002,30
01-02-2002,5
01-03-2002,1
01-04-2002,1
01-05-2002,10
01-06-2002,214
01-07-2002,71
01-08-2002,180
01-09-2002,63
01-10-2002,537
01-11-2002,20
01-12-2002,13
01-01-2003,34
01-02-2003,2
01-03-2003,18
01-04-2003,26
01-05-2003,32
01-06-2003,202
01-07-2003,396
01-08-2003,115
01-09-2003,137
01-10-2003,430
01-11-2003,3
01-12-2003,194
01-01-2004,2
01-02-2004,0
01-03-2004,27
01-04-2004,47
01-05-2004,59
01-06-2004,222
01-07-2004,344
01-08-2004,91
01-09-2004,198
01-10-2004,277
01-11-2004,50
01-12-2004,5
01-01-2005,17
01-02-2005,0
01-03-2005,1
01-04-2005,41
01-05-2005,16
01-06-2005,111
01-07-2005,109
01-08-2005,98
01-09-2005,606
01-10-2005,505
01-11-2005,55
01-12-2005,33
01-01-2006,3
01-02-2006,7
01-03-2006,5
01-04-2006,162
01-05-2006,77
01-06-2006,186
01-07-2006,95
01-08-2006,336
01-09-2006,208
01-10-2006,132
01-11-2006,42
01-12-2006,1
01-01-2007,6
01-02-2007,0
01-03-2007,0
01-04-2007,7
01-05-2007,40
01-06-2007,514
01-07-2007,139
01-08-2007,197
01-09-2007,418
01-10-2007,259
01-11-2007,1
01-12-2007,11
01-01-2008,2
01-02-2008,67
01-03-2008,228
01-04-2008,25
01-05-2008,22
01-06-2008,157
01-07-2008,226
01-08-2008,169
01-09-2008,116
01-10-2008,119
01-11-2008,333
01-12-2008,4
01-01-2009,0
01-02-2009,0
01-03-2009,17
01-04-2009,1
01-05-2009,61
01-06-2009,68
01-07-2009,136
01-08-2009,250
01-09-2009,70
01-10-2009,12
01-11-2009,42
01-12-2009,3
01-01-2010,1
01-02-2010,1
01-03-2010,17
01-04-2010,19
01-05-2010,459
01-06-2010,239
01-07-2010,512
01-08-2010,502
01-09-2010,350
01-10-2010,756
01-11-2010,78
01-12-2010,393
01-01-2011,19
01-02-2011,2
01-03-2011,2
01-04-2011,36
01-05-2011,79
01-06-2011,110
01-07-2011,413
01-08-2011,241
01-09-2011,183
01-10-2011,56
01-11-2011,4
01-12-2011,17
01-01-2012,3
01-02-2012,2
01-03-2012,1
01-04-2012,55
01-05-2012,12
01-06-2012,69
01-07-2012,268
01-08-2012,143
01-09-2012,378
01-10-2012,412
01-11-2012,371
01-12-2012,15
01-01-2013,0
01-02-2013,10
01-03-2013,2
01-04-2013,30
01-05-2013,60
01-06-2013,219
01-07-2013,183
01-08-2013,130
01-09-2013,277
01-10-2013,1124
01-11-2013,25
01-12-2013,35
01-01-2014,3
01-02-2014,0
01-03-2014,4
01-04-2014,12
01-05-2014,16
01-06-2014,112
01-07-2014,136
01-08-2014,151
01-09-2014,149
01-10-2014,73
01-11-2014,121
01-12-2014,22
01-01-2015,0
01-02-2015,0
01-03-2015,1
01-04-2015,26
01-05-2015,1
01-06-2015,232
01-07-2015,144
01-08-2015,200
01-09-2015,186
01-10-2015,68
01-11-2015,255
01-12-2015,39
01-01-2016,2
01-02-2016,1
01-03-2016,3
01-04-2016,1
01-05-2016,278
01-06-2016,364
01-07-2016,180
01-08-2016,197
01-09-2016,194
01-10-2016,72
01-11-2016,1
01-12-2016,14
01-01-2017,22
01-02-2017,0
01-03-2017,10
01-04-2017,7
01-05-2017,33
01-06-2017,184
01-07-2017,310
01-08-2017,265
01-09-2017,192
01-10-2017,126
01-11-2017,15
01-12-2017,1
01-01-2018,1
01-02-2018,20
01-03-2018,29
01-04-2018,9
01-05-2018,34
01-06-2018,249
01-07-2018,216
01-08-2018,184
01-09-2018,110
01-10-2018,75
01-11-2018,18
01-12-2018,85
01-01-2019,2
01-02-2019,1
01-03-2019,0
01-04-2019,31
01-05-2019,26
01-06-2019,110
01-07-2019,390
01-08-2019,107
01-09-2019,129
01-10-2019,351
01-11-2019,1
01-12-2019,13
01-01-2020,0
01-02-2020,0
01-03-2020,1
01-04-2020,38
01-05-2020,15
01-06-2020,131
01-07-2020,323
01-08-2020,158
01-09-2020,472
01-10-2020,406
01-11-2020,71
01-12-2020,14
01-01-2021,35
01-02-2021,10
01-03-2021,1
01-04-2021,48
01-05-2021,40
01-06-2021,52
01-07-2021,192
01-08-2021,157
01-09-2021,305
01-10-2021,79
01-11-2021,212
01-12-2021,1
01-01-2022,1
01-02-2022,0
01-03-2022,1
01-04-2022,4
