time, Rain
01-03-2000,7
01-04-2000,6
01-05-2000,43
01-06-2000,242
01-07-2000,409
01-08-2000,325
01-09-2000,124
01-10-2000,588
01-11-2000,10
01-12-2000,6
01-01-2001,92
01-02-2001,0
01-03-2001,10
01-04-2001,48
01-05-2001,12
01-06-2001,251
01-07-2001,261
01-08-2001,240
01-09-2001,420
01-10-2001,343
01-11-2001,121
01-12-2001,49
01-01-2002,31
01-02-2002,10
01-03-2002,1
01-04-2002,1
01-05-2002,12
01-06-2002,215
01-07-2002,65
01-08-2002,187
01-09-2002,66
01-10-2002,574
01-11-2002,19
01-12-2002,22
01-01-2003,28
01-02-2003,3
01-03-2003,21
01-04-2003,22
01-05-2003,37
01-06-2003,198
01-07-2003,414
01-08-2003,119
01-09-2003,150
01-10-2003,418
01-11-2003,3
01-12-2003,195
01-01-2004,2
01-02-2004,0
01-03-2004,31
01-04-2004,48
01-05-2004,51
01-06-2004,215
01-07-2004,321
01-08-2004,91
01-09-2004,198
01-10-2004,280
01-11-2004,43
01-12-2004,2
01-01-2005,18
01-02-2005,0
01-03-2005,2
01-04-2005,38
01-05-2005,16
01-06-2005,105
01-07-2005,130
01-08-2005,108
01-09-2005,612
01-10-2005,515
01-11-2005,66
01-12-2005,30
01-01-2006,1
01-02-2006,5
01-03-2006,5
01-04-2006,170
01-05-2006,93
01-06-2006,194
01-07-2006,100
01-08-2006,346
01-09-2006,210
01-10-2006,137
01-11-2006,42
01-12-2006,8
01-01-2007,7
01-02-2007,0
01-03-2007,0
01-04-2007,9
01-05-2007,46
01-06-2007,500
01-07-2007,154
01-08-2007,184
01-09-2007,414
01-10-2007,260
01-11-2007,1
01-12-2007,15
01-01-2008,4
01-02-2008,63
01-03-2008,228
01-04-2008,28
01-05-2008,22
01-06-2008,154
01-07-2008,269
01-08-2008,185
01-09-2008,135
01-10-2008,112
01-11-2008,340
01-12-2008,5
01-01-2009,0
01-02-2009,0
01-03-2009,14
01-04-2009,1
01-05-2009,50
01-06-2009,69
01-07-2009,154
01-08-2009,321
01-09-2009,76
01-10-2009,8
01-11-2009,55
01-12-2009,7
01-01-2010,0
01-02-2010,3
01-03-2010,19
01-04-2010,22
01-05-2010,420
01-06-2010,243
01-07-2010,545
01-08-2010,504
01-09-2010,424
01-10-2010,714
01-11-2010,78
01-12-2010,369
01-01-2011,19
01-02-2011,4
01-03-2011,2
01-04-2011,42
01-05-2011,62
01-06-2011,111
01-07-2011,431
01-08-2011,284
01-09-2011,159
01-10-2011,54
01-11-2011,5
01-12-2011,17
01-01-2012,1
01-02-2012,1
01-03-2012,1
01-04-2012,53
01-05-2012,13
01-06-2012,77
01-07-2012,283
01-08-2012,135
01-09-2012,397
01-10-2012,429
01-11-2012,410
01-12-2012,12
01-01-2013,0
01-02-2013,9
01-03-2013,2
01-04-2013,31
01-05-2013,83
01-06-2013,266
01-07-2013,158
01-08-2013,118
01-09-2013,294
01-10-2013,1130
01-11-2013,26
01-12-2013,27
01-01-2014,4
01-02-2014,0
01-03-2014,2
01-04-2014,12
01-05-2014,19
01-06-2014,117
01-07-2014,131
01-08-2014,177
01-09-2014,175
01-10-2014,73
01-11-2014,141
01-12-2014,23
01-01-2015,0
01-02-2015,1
01-03-2015,1
01-04-2015,28
01-05-2015,2
01-06-2015,279
01-07-2015,160
01-08-2015,250
01-09-2015,207
01-10-2015,85
01-11-2015,237
01-12-2015,44
01-01-2016,0
01-02-2016,1
01-03-2016,5
01-04-2016,1
01-05-2016,262
01-06-2016,403
01-07-2016,194
01-08-2016,188
01-09-2016,202
01-10-2016,88
01-11-2016,1
01-12-2016,14
01-01-2017,1
01-02-2017,0
01-03-2017,13
01-04-2017,6
01-05-2017,31
01-06-2017,172
01-07-2017,307
01-08-2017,297
01-09-2017,203
01-10-2017,154
01-11-2017,15
01-12-2017,0
01-01-2018,1
01-02-2018,10
01-03-2018,26
01-04-2018,11
01-05-2018,32
01-06-2018,249
01-07-2018,197
01-08-2018,181
01-09-2018,100
01-10-2018,78
01-11-2018,15
01-12-2018,83
01-01-2019,0
01-02-2019,1
01-03-2019,0
01-04-2019,39
01-05-2019,26
01-06-2019,123
01-07-2019,403
01-08-2019,123
01-09-2019,125
01-10-2019,324
01-11-2019,1
01-12-2019,17
01-01-2020,0
01-02-2020,0
01-03-2020,2
01-04-2020,34
01-05-2020,17
01-06-2020,123
01-07-2020,375
01-08-2020,157
01-09-2020,481
01-10-2020,420
01-11-2020,42
01-12-2020,16
01-01-2021,34
01-02-2021,10
01-03-2021,1
01-04-2021,46
01-05-2021,42
01-06-2021,64
01-07-2021,196
01-08-2021,147
01-09-2021,270
01-10-2021,86
01-11-2021,185
01-12-2021,1
01-01-2022,1
01-02-2022,0
01-03-2022,1
01-04-2022,4
