time, Rain
01-03-2000,6
01-04-2000,15
01-05-2000,36
01-06-2000,253
01-07-2000,422
01-08-2000,317
01-09-2000,114
01-10-2000,628
01-11-2000,9
01-12-2000,8
01-01-2001,97
01-02-2001,0
01-03-2001,10
01-04-2001,43
01-05-2001,15
01-06-2001,227
01-07-2001,293
01-08-2001,221
01-09-2001,385
01-10-2001,363
01-11-2001,149
01-12-2001,23
01-01-2002,28
01-02-2002,6
01-03-2002,1
01-04-2002,1
01-05-2002,13
01-06-2002,245
01-07-2002,66
01-08-2002,175
01-09-2002,60
01-10-2002,516
01-11-2002,29
01-12-2002,22
01-01-2003,39
01-02-2003,1
01-03-2003,21
01-04-2003,27
01-05-2003,33
01-06-2003,219
01-07-2003,407
01-08-2003,121
01-09-2003,140
01-10-2003,471
01-11-2003,2
01-12-2003,198
01-01-2004,10
01-02-2004,0
01-03-2004,26
01-04-2004,38
01-05-2004,51
01-06-2004,226
01-07-2004,331
01-08-2004,102
01-09-2004,194
01-10-2004,282
01-11-2004,54
01-12-2004,9
01-01-2005,12
01-02-2005,0
01-03-2005,2
01-04-2005,32
01-05-2005,11
01-06-2005,105
01-07-2005,128
01-08-2005,115
01-09-2005,613
01-10-2005,505
01-11-2005,61
01-12-2005,32
01-01-2006,4
01-02-2006,14
01-03-2006,5
01-04-2006,152
01-05-2006,80
01-06-2006,201
01-07-2006,97
01-08-2006,331
01-09-2006,193
01-10-2006,127
01-11-2006,47
01-12-2006,1
01-01-2007,5
01-02-2007,0
01-03-2007,0
01-04-2007,6
01-05-2007,45
01-06-2007,479
01-07-2007,156
01-08-2007,180
01-09-2007,381
01-10-2007,249
01-11-2007,1
01-12-2007,14
01-01-2008,1
01-02-2008,53
01-03-2008,260
01-04-2008,16
01-05-2008,21
01-06-2008,164
01-07-2008,264
01-08-2008,181
01-09-2008,137
01-10-2008,126
01-11-2008,359
01-12-2008,9
01-01-2009,0
01-02-2009,0
01-03-2009,11
01-04-2009,1
01-05-2009,66
01-06-2009,80
01-07-2009,129
01-08-2009,294
01-09-2009,77
01-10-2009,14
01-11-2009,47
01-12-2009,7
01-01-2010,0
01-02-2010,1
01-03-2010,13
01-04-2010,22
01-05-2010,462
01-06-2010,236
01-07-2010,531
01-08-2010,500
01-09-2010,406
01-10-2010,779
01-11-2010,75
01-12-2010,393
01-01-2011,15
01-02-2011,3
01-03-2011,1
01-04-2011,42
01-05-2011,76
01-06-2011,104
01-07-2011,414
01-08-2011,265
01-09-2011,161
01-10-2011,50
01-11-2011,2
01-12-2011,34
01-01-2012,2
01-02-2012,4
01-03-2012,1
01-04-2012,52
01-05-2012,12
01-06-2012,71
01-07-2012,297
01-08-2012,148
01-09-2012,374
01-10-2012,390
01-11-2012,379
01-12-2012,22
01-01-2013,0
01-02-2013,10
01-03-2013,3
01-04-2013,28
01-05-2013,69
01-06-2013,249
01-07-2013,170
01-08-2013,139
01-09-2013,311
01-10-2013,1119
01-11-2013,29
01-12-2013,25
01-01-2014,3
01-02-2014,0
01-03-2014,9
01-04-2014,9
01-05-2014,17
01-06-2014,105
01-07-2014,127
01-08-2014,174
01-09-2014,159
01-10-2014,83
01-11-2014,154
01-12-2014,29
01-01-2015,0
01-02-2015,0
01-03-2015,1
01-04-2015,25
01-05-2015,1
01-06-2015,270
01-07-2015,156
01-08-2015,261
01-09-2015,198
01-10-2015,77
01-11-2015,247
01-12-2015,41
01-01-2016,1
01-02-2016,1
01-03-2016,7
01-04-2016,1
01-05-2016,275
01-06-2016,425
01-07-2016,179
01-08-2016,183
01-09-2016,206
01-10-2016,91
01-11-2016,2
01-12-2016,26
01-01-2017,0
01-02-2017,1
01-03-2017,7
01-04-2017,4
01-05-2017,27
01-06-2017,199
01-07-2017,306
01-08-2017,282
01-09-2017,184
01-10-2017,162
01-11-2017,26
01-12-2017,2
01-01-2018,1
01-02-2018,27
01-03-2018,19
01-04-2018,11
01-05-2018,34
01-06-2018,249
01-07-2018,220
01-08-2018,167
01-09-2018,80
01-10-2018,68
01-11-2018,24
01-12-2018,86
01-01-2019,5
01-02-2019,1
01-03-2019,0
01-04-2019,28
01-05-2019,20
01-06-2019,99
01-07-2019,379
01-08-2019,133
01-09-2019,139
01-10-2019,383
01-11-2019,1
01-12-2019,12
01-01-2020,0
01-02-2020,0
01-03-2020,1
01-04-2020,67
01-05-2020,22
01-06-2020,138
01-07-2020,327
01-08-2020,143
01-09-2020,483
01-10-2020,409
01-11-2020,47
01-12-2020,11
01-01-2021,21
01-02-2021,8
01-03-2021,1
01-04-2021,37
01-05-2021,39
01-06-2021,65
01-07-2021,170
01-08-2021,159
01-09-2021,279
01-10-2021,82
01-11-2021,205
01-12-2021,1
01-01-2022,0
01-02-2022,0
01-03-2022,1
01-04-2022,4
