time, Rain
01-01-2003,2.57
01-02-2003,0
01-03-2003,27.05
01-04-2003,23.3
01-05-2003,142.93
01-06-2003,340.36
01-07-2003,518.15
01-08-2003,213.56
01-09-2003,177.09
01-10-2003,500.37
01-11-2003,1.42
01-12-2003,95.12
01-01-2004,0
01-02-2004,0
01-03-2004,22.95
01-04-2004,63.18
01-05-2004,133.29
01-06-2004,348.59
01-07-2004,347.28
01-08-2004,116.11
01-09-2004,313.78
01-10-2004,238.67
01-11-2004,90.17
01-12-2004,0.13
01-01-2005,0
01-02-2005,0
01-03-2005,4.62
01-04-2005,35.82
01-05-2005,49.75
01-06-2005,220.36
01-07-2005,148.18
01-08-2005,108.3
01-09-2005,542.32
01-10-2005,480.35
01-11-2005,87.4
01-12-2005,27.48
01-01-2006,0.37
01-02-2006,0
01-03-2006,15
01-04-2006,86.15
01-05-2006,237.47
01-06-2006,277.08
01-07-2006,198.24
01-08-2006,470.35
01-09-2006,298.95
01-10-2006,271.09
01-11-2006,70.28
01-12-2006,1
01-01-2007,0.47
01-02-2007,0
01-03-2007,0
01-04-2007,5.64
01-05-2007,129.57
01-06-2007,522.45
01-07-2007,156.62
01-08-2007,274.42
01-09-2007,376.81
01-10-2007,212.9
01-11-2007,1.05
01-12-2007,0.11
01-01-2008,0
01-02-2008,43.02
01-03-2008,139.77
01-04-2008,1.99
01-05-2008,100.72
01-06-2008,273.4
01-07-2008,160.42
01-08-2008,196.65
01-09-2008,122.83
01-10-2008,115.83
01-11-2008,313.63
01-12-2008,4.73
01-01-2009,0
01-02-2009,0
01-03-2009,2.93
01-04-2009,0
01-05-2009,152.48
01-06-2009,87.96
01-07-2009,86.78
01-08-2009,190.26
01-09-2009,162.01
01-10-2009,21.69
01-11-2009,115.77
01-12-2009,0.22
01-01-2010,0
01-02-2010,2.69
01-03-2010,7.82
01-04-2010,36.59
01-05-2010,312.16
01-06-2010,354.22
01-07-2010,374.05
01-08-2010,328.93
01-09-2010,263.32
01-10-2010,425.03
01-11-2010,149.65
01-12-2010,171.68
01-01-2011,0.97
01-02-2011,0
01-03-2011,0.13
01-04-2011,25.14
01-05-2011,82.88
01-06-2011,137.97
01-07-2011,332.13
01-08-2011,349.79
01-09-2011,160.37
01-10-2011,88.91
01-11-2011,6.56
01-12-2011,4.11
01-01-2012,0
01-02-2012,0
01-03-2012,0.83
01-04-2012,52.48
01-05-2012,58.3
01-06-2012,149.53
01-07-2012,177.69
01-08-2012,140.92
01-09-2012,326.55
01-10-2012,273.79
01-11-2012,188.13
01-12-2012,5.58
01-01-2013,0
01-02-2013,14.37
01-03-2013,0.66
01-04-2013,37.2
01-05-2013,103.64
01-06-2013,207.6
01-07-2013,197.29
01-08-2013,158.42
01-09-2013,245.52
01-10-2013,680.15
01-11-2013,22.7
01-12-2013,4.23
01-01-2014,0
01-02-2014,0
01-03-2014,0.47
01-04-2014,13.24
01-05-2014,74.05
01-06-2014,138.72
01-07-2014,146.52
01-08-2014,161.6
01-09-2014,180.09
01-10-2014,89.13
01-11-2014,115.97
01-12-2014,4.52
01-01-2015,0
01-02-2015,0
01-03-2015,0.2
01-04-2015,30.38
01-05-2015,7.95
01-06-2015,508.45
01-07-2015,158.14
01-08-2015,295.85
01-09-2015,267.93
01-10-2015,100.7
01-11-2015,345.36
01-12-2015,11.14
01-01-2016,0
01-02-2016,0
01-03-2016,4.74
01-04-2016,4.47
01-05-2016,310.91
01-06-2016,494.59
01-07-2016,163.92
01-08-2016,191.97
01-09-2016,278.71
01-10-2016,81.24
01-11-2016,0.25
01-12-2016,21.74
01-01-2017,0
01-02-2017,0
01-03-2017,11.95
01-04-2017,8.47
01-05-2017,73.41
01-06-2017,365.04
01-07-2017,220.23
01-08-2017,265.61
01-09-2017,228.95
01-10-2017,99.37
01-11-2017,12.94
01-12-2017,0
01-01-2018,0.1
01-02-2018,1.54
01-03-2018,25.28
01-04-2018,7.92
01-05-2018,93.18
01-06-2018,254.32
01-07-2018,230.44
01-08-2018,188.22
01-09-2018,122.48
01-10-2018,97.23
01-11-2018,21.54
01-12-2018,43.15
01-01-2019,0
01-02-2019,11.31
01-03-2019,0
01-04-2019,31.07
01-05-2019,89.92
01-06-2019,202.33
01-07-2019,309.4
01-08-2019,133.18
01-09-2019,149.67
01-10-2019,335.52
01-11-2019,0.62
01-12-2019,2.05
01-01-2020,0.31
01-02-2020,0
01-03-2020,1.83
01-04-2020,37.17
01-05-2020,19.17
01-06-2020,203.99
01-07-2020,282.17
01-08-2020,168.51
01-09-2020,519.26
01-10-2020,345.48
01-11-2020,114.36
01-12-2020,7.78
01-01-2021,2.37
01-02-2021,0
01-03-2021,0
01-04-2021,34.01
01-05-2021,114.03
01-06-2021,135.04
01-07-2021,220.19
01-08-2021,209.64
01-09-2021,286.87
01-10-2021,111.31
01-11-2021,356.13
01-12-2021,0
01-01-2022,0
01-02-2022,0
01-03-2022,0
01-04-2022,1.59
