time, Rain
01-01-2003,1.79
01-02-2003,0
01-03-2003,24.08
01-04-2003,15.98
01-05-2003,162.56
01-06-2003,350.12
01-07-2003,574.31
01-08-2003,224.22
01-09-2003,171.23
01-10-2003,566.78
01-11-2003,0.98
01-12-2003,103.58
01-01-2004,0
01-02-2004,0
01-03-2004,19.7
01-04-2004,51.9
01-05-2004,138.65
01-06-2004,377.37
01-07-2004,351.02
01-08-2004,137.44
01-09-2004,309.72
01-10-2004,292.41
01-11-2004,102.3
01-12-2004,0.11
01-01-2005,0
01-02-2005,0
01-03-2005,3.15
01-04-2005,36.69
01-05-2005,48.92
01-06-2005,230.61
01-07-2005,161.57
01-08-2005,110.26
01-09-2005,581.78
01-10-2005,426.08
01-11-2005,95.59
01-12-2005,17.82
01-01-2006,0.94
01-02-2006,0
01-03-2006,12.27
01-04-2006,79.89
01-05-2006,243.09
01-06-2006,283.71
01-07-2006,219.2
01-08-2006,474.14
01-09-2006,291.02
01-10-2006,243.16
01-11-2006,87.72
01-12-2006,1.52
01-01-2007,0.12
01-02-2007,0
01-03-2007,0
01-04-2007,4.46
01-05-2007,116.31
01-06-2007,517.47
01-07-2007,136.36
01-08-2007,280.02
01-09-2007,372.59
01-10-2007,208.94
01-11-2007,0.54
01-12-2007,0.23
01-01-2008,0
01-02-2008,25.97
01-03-2008,158.15
01-04-2008,4.3
01-05-2008,112.74
01-06-2008,272.92
01-07-2008,148.77
01-08-2008,198.54
01-09-2008,129.83
01-10-2008,134.87
01-11-2008,318.72
01-12-2008,4.09
01-01-2009,0
01-02-2009,0
01-03-2009,4.76
01-04-2009,0
01-05-2009,131.07
01-06-2009,101.69
01-07-2009,99.57
01-08-2009,169.28
01-09-2009,172.14
01-10-2009,37.99
01-11-2009,111.7
01-12-2009,0.11
01-01-2010,0
01-02-2010,1.2
01-03-2010,4.74
01-04-2010,24
01-05-2010,309.91
01-06-2010,334.85
01-07-2010,386.76
01-08-2010,325.87
01-09-2010,258.8
01-10-2010,465.52
01-11-2010,145.5
01-12-2010,193.54
01-01-2011,1.2
01-02-2011,0
01-03-2011,0
01-04-2011,24.54
01-05-2011,68.59
01-06-2011,162.24
01-07-2011,369.14
01-08-2011,339.4
01-09-2011,175.69
01-10-2011,77.32
01-11-2011,3.53
01-12-2011,4.2
01-01-2012,0
01-02-2012,0
01-03-2012,0
01-04-2012,40.31
01-05-2012,83.79
01-06-2012,138.04
01-07-2012,175.9
01-08-2012,147.86
01-09-2012,316.29
01-10-2012,258.68
01-11-2012,196.42
01-12-2012,2.96
01-01-2013,0
01-02-2013,13.93
01-03-2013,1.1
01-04-2013,36.38
01-05-2013,100.4
01-06-2013,197.17
01-07-2013,218.1
01-08-2013,152.26
01-09-2013,247.64
01-10-2013,686.76
01-11-2013,29.1
01-12-2013,4.82
01-01-2014,0
01-02-2014,0
01-03-2014,0
01-04-2014,7.63
01-05-2014,83.15
01-06-2014,163.43
01-07-2014,158.11
01-08-2014,175
01-09-2014,196.29
01-10-2014,107.08
01-11-2014,123.43
01-12-2014,4.94
01-01-2015,0
01-02-2015,0
01-03-2015,0.26
01-04-2015,18.76
01-05-2015,2.43
01-06-2015,517.6
01-07-2015,160.21
01-08-2015,286.74
01-09-2015,280.32
01-10-2015,104.36
01-11-2015,398.91
01-12-2015,8.64
01-01-2016,0
01-02-2016,0.11
01-03-2016,2.2
01-04-2016,1.84
01-05-2016,325.58
01-06-2016,548.72
01-07-2016,159.17
01-08-2016,180.34
01-09-2016,325.78
01-10-2016,105.47
01-11-2016,0.12
01-12-2016,31.01
01-01-2017,0
01-02-2017,0
01-03-2017,2.23
01-04-2017,0.24
01-05-2017,65.76
01-06-2017,398.97
01-07-2017,216.27
01-08-2017,249.89
01-09-2017,228.46
01-10-2017,104.13
01-11-2017,16.05
01-12-2017,0
01-01-2018,0
01-02-2018,1.19
01-03-2018,18.04
01-04-2018,8.04
01-05-2018,105.52
01-06-2018,249.48
01-07-2018,254.09
01-08-2018,189.19
01-09-2018,117.94
01-10-2018,76.41
01-11-2018,26.59
01-12-2018,45.03
01-01-2019,0
01-02-2019,3.63
01-03-2019,0
01-04-2019,18.04
01-05-2019,86.97
01-06-2019,183.22
01-07-2019,303.43
01-08-2019,123.25
01-09-2019,127.31
01-10-2019,352.35
01-11-2019,0.66
01-12-2019,1.39
01-01-2020,0.19
01-02-2020,0
01-03-2020,0.42
01-04-2020,84.42
01-05-2020,9.49
01-06-2020,220.04
01-07-2020,272.05
01-08-2020,169.68
01-09-2020,520.2
01-10-2020,356.9
01-11-2020,129.48
01-12-2020,8.06
01-01-2021,5.56
01-02-2021,0
01-03-2021,0
01-04-2021,20.8
01-05-2021,103.8
01-06-2021,139.2
01-07-2021,236.18
01-08-2021,212.64
01-09-2021,280.93
01-10-2021,103.16
01-11-2021,389.04
01-12-2021,0.28
01-01-2022,0
01-02-2022,0
01-03-2022,0
01-04-2022,0.83
